"id","year","week","team","pts_for","opponent","pts_against"
20190921,2019,9,"Benny","89.52","Frank","115.14"
20190922,2019,9,"Frank","115.14","Benny","89.52"
20190931,2019,9,"Strand","62.76","Winks","71.64"
20190932,2019,9,"Winks","71.64","Strand","62.76"
20190941,2019,9,"Sarge","89","Faber","115.44"
20190942,2019,9,"Faber","115.44","Sarge","89"
20190951,2019,9,"Rades","63.6","Ceej","89.48"
20190952,2019,9,"Ceej","89.48","Rades","63.6"
20191001,2019,10,"Lude","64.52","Rades","90.88"
20191002,2019,10,"Rades","90.88","Lude","64.52"
20191011,2019,10,"Ost","98.92","Schingen","129.76"
20191012,2019,10,"Schingen","129.76","Ost","98.92"
20191021,2019,10,"Benny","76.82","Gresh","77.72"
20191022,2019,10,"Gresh","77.72","Benny","76.82"
20191031,2019,10,"Strand","70.98","Frank","61.4"
20191032,2019,10,"Frank","61.4","Strand","70.98"
20191041,2019,10,"Sarge","101.34","Winks","74.22"
20191042,2019,10,"Winks","74.22","Sarge","101.34"
20191051,2019,10,"Faber","77.08","Ceej","75.18"
20191052,2019,10,"Ceej","75.18","Faber","77.08"
20191101,2019,11,"Lude","66.82","Ceej","103.76"
20191102,2019,11,"Ceej","103.76","Lude","66.82"
20191111,2019,11,"Ost","61.64","Rades","90.74"
20191112,2019,11,"Rades","90.74","Ost","61.64"
20191121,2019,11,"Benny","76.6","Schingen","86.38"
20191122,2019,11,"Schingen","86.38","Benny","76.6"
20191131,2019,11,"Strand","83.82","Gresh","81.42"
20191132,2019,11,"Gresh","81.42","Strand","83.82"
20191141,2019,11,"Sarge","62.68","Frank","64.4"
20191142,2019,11,"Frank","64.4","Sarge","62.68"
20191151,2019,11,"Faber","87.76","Winks","87.44"
20191152,2019,11,"Winks","87.44","Faber","87.76"
20191201,2019,12,"Lude","102.02","Ost","67.2"
20191202,2019,12,"Ost","67.2","Lude","102.02"
20191211,2019,12,"Benny","80.96","Rades","46.14"
20191212,2019,12,"Rades","46.14","Benny","80.96"
20191221,2019,12,"Strand","77.94","Schingen","46.38"
20191222,2019,12,"Schingen","46.38","Strand","77.94"
20191231,2019,12,"Sarge","93.56","Gresh","126.28"
20191232,2019,12,"Gresh","126.28","Sarge","93.56"
20191241,2019,12,"Faber","82.02","Frank","78.5"
20191242,2019,12,"Frank","78.5","Faber","82.02"
20191251,2019,12,"Winks","56.46","Ceej","64.98"
20191252,2019,12,"Ceej","64.98","Winks","56.46"
20191301,2019,13,"Lude","80.72","Benny","104.1"
20191302,2019,13,"Benny","104.1","Lude","80.72"
20191311,2019,13,"Ost","112.84","Ceej","75"
20191312,2019,13,"Ceej","75","Ost","112.84"
20191321,2019,13,"Strand","57.36","Rades","62.58"
20191322,2019,13,"Rades","62.58","Strand","57.36"
20191331,2019,13,"Sarge","94.04","Schingen","55.02"
20191332,2019,13,"Schingen","55.02","Sarge","94.04"
